# GRE 词汇词典
# GRE 研究生入学考试词汇
# 共 7479 条
# 格式: word|translation

biped|biped n. 两足动物；a. 有两足的
mountebank|mountebank n. 江湖郎中, 骗子
asphyxia|asphyxia n. 窒息；[医] 窒息; 无脉, 绝脉(旧名)
dissimulate|dissimulate v. 掩饰, 假装, 装糊涂
lubricious|lubricious a. 滑的, 光滑的, 淫荡的, 不稳定的
holograph|holograph n. 亲笔文件；a. 亲笔的
arrhythmic|arrhythmic a. 无节奏的；[医] 心律失常的, 心律不齐的, 无节律的
chary|chary a. 细心的, 吝啬的, 谨慎的
souse|souse n. 溅落, 浸入, 腌渍用盐汁, 腌制物, 浸水；vt. 把...浸如水中, 腌制, 弄醉；vi. 被浸透, 喝醉；adv. 扑通一声地, 出其不意地
munificence|munificence n. 丰厚, 慷慨给与
loutish|loutish a. 粗野的, 无礼的
plangent|plangent a. 轰鸣的, 凄切的, 哀鸣的
tickler|tickler n. 难题, 难事, 备忘录, 呵痒的人；[经] 备忘录, 记事本, 到期票据记录簿
dolorous|dolorous a. 忧伤的, 悲痛的
foppish|foppish a. 浮华的, 矫饰的, 纨绔的, 傻的
killjoy|killjoy n. 令人扫兴的人, 煞风景
sybarite|sybarite n. 爱奢侈享乐的人, 奢侈逸乐之徒, 骄奢淫逸的人
debark|debark vt. 使登陆, 使下船, 卸(货)；vi. 登陆
circumlocution|circumlocution n. 迂回的说法
tyro|tyro n. 初学者, 生手, 新手
stagy|stagy a. 戏剧的, 戏一般的, 夸大的, 做作的
malapropism|malapropism n. 文字的错用
prevaricate|prevaricate vi. 支吾其辞, 搪塞
nonpareil|nonpareil a. 无比的, 无上的；n. 完美无比的人, 举世无双的人/物, 完美无比的物
supplicate|supplicate v. 恳求, 哀求, 恳请
reprobate|reprobate n. 堕落的人, 恶棍, 被神遗弃的人；a. 堕落的, 邪恶的；vt. 斥责, 非难, 拒绝
gnomic|gnomic a. 格言的, 含格言的
lexicographer|lexicographer n. 辞典编纂者
coarsen|coarsen v. (使)变粗
idolater|idolater n. 偶像崇拜者, 崇拜者, 皈依者
venial|venial a. 可原谅的, 可宽恕的, 轻微的；[法] 可宽恕的, 可原谅的, 轻微的
precipitant|precipitant a. 突如其来的, 勇往直前的, 急促的, 径直向下的；n. 沉淀剂
protuberant|protuberant a. 突起的, 招人注意的
underbid|underbid vt. 出较低的价钱, 出价低于(他人)；vi. 喊价过低, 叫牌过低
plutocracy|plutocracy n. 富豪统治；[经] 财阀统治, 富豪统治
gangling|gangling a. 瘦长难看的
incubus|incubus n. 梦淫妖, 梦魇, 沉重的负担；[医] 梦魔, 梦魇
panegyric|panegyric n. 赞颂, 颂词, 推崇备至
olfaction|olfaction n. 嗅觉；[医] 嗅觉, 嗅
factotum|factotum n. 家务总管, 杂役, 爱管闲事者；[经] 杂工
defoliant|defoliant n. 脱叶剂, 落叶剂；[化] 脱叶剂
putrefy|putrefy v. (使)化脓, (使)腐烂, (使)堕落
diabolic|diabolic a. 恶魔的, 恶毒的, 凶暴的, 恶魔似的, (非正式)非常可憎的
anhydrous|anhydrous a. 无水的；[医] 无水的
alimentary|alimentary a. 饮食的, 供养的；[化] 营养的
unregenerate|unregenerate a. 灵魂未得再生的, 不悔改的, 怙恶不悛的, 顽固不化的
antedate|antedate vt. 先于, 前于；[经] 提前日期(比实际毋早的日期)
voracity|voracity n. 贪食, 贪婪
preliterate|preliterate a. 文字出现以前的
retentive|retentive a. 保持的, 有保持力的, 记性好的
denture|denture n. 一副假牙, 一副牙齿, 齿列；[医] 托牙, 牙列
insensate|insensate a. 无感觉的, 迟钝的, 无生命的, 无情的
conciliate|conciliate vt. 安抚, 说服, 博得...的支持, 调和；[法] 调解, 安抚, 抚慰
exculpate|exculpate vt. 使无罪, 开脱；[法] 使无罪, 申辩无罪, 辩解
choleric|choleric a. 易怒的；[医] 胆汁质的, 急躁的
clannish|clannish a. 氏族的, 宗族的, 团结心很强的
pellucid|pellucid a. 透明的, 澄清的, 明了的；[医] 透明的
iniquitous|iniquitous a. 不公正的, 邪恶的
ramify|ramify v. (使)分枝, (使)分叉, (使)成枝岔状
puffery|puffery n. 夸大广告, 吹捧
fastness|fastness n. 要塞, 巩固, 迅速；[医] 抗拒性
parch|parch vt. 烤, 烘, 使干透；vi. 烤干, 焦干
superintend|superintend v. 指挥, 管理, 监督
dietetics|dietetics n. 饮食学；[医] 饮食学
petrify|petrify vt. (非正式)使惊呆, 使吓得要死, 使发呆；vt.vi. 使石化, 使成为化石, 使变僵, 变僵硬, 使消失活力, 使僵化
rescission|rescission n. 废止, 取消, 使无效, 撤消；[经] 解除, 取消
imposture|imposture n. 欺诈, 冒牌
derogate|derogate v. 贬损, 毁损
lapidary|lapidary n. 宝石工艺匠, 宝石鉴定家；a. 宝石雕刻的, 宝石的
castigation|castigation n. 惩罚, 苛评, 修订
aggrandize|aggrandize vt. 增加, 夸大
bacchanal|bacchanal a. 酒神的, 酒神节的, 狂饮作乐的；n. 酒神崇拜者, 狂饮作乐
shipwright|shipwright n. 造船木匠
parlous|parlous a. 危险的, 不易对付的, 精明的, 麻烦的；adv. 非常地, 极度地
coagulant|coagulant n. 凝结剂；[化] 凝结剂
iterate|iterate vt. 反复说, 重复；[计] 迭代
calibre|calibre n. 口径, 才干, 水准
nonviable|nonviable a. 无法生活的；[医] 不能生活的
sinecure|sinecure n. 闲职；[经] 领干俸的职位
numismatic|numismatic a. 货币的, 奖章的, 古币学的
obsolescent|obsolescent a. 在逐步废弃的
fluvial|fluvial a. 河流的
hie|hie vt. 使急行, 催促
windbag|windbag n. 空话连篇的人, 风囊
bumptious|bumptious a. 瞎自夸的, 瞎自大的, 傲慢的
hawser|hawser n. 大缆, 系船索, 曳船索
harridan|harridan n. 凶恶的老妇, 丑婆, 鬼婆
pusillanimous|pusillanimous a. 无勇气的, 胆怯的, 优柔寡断的
superfluity|superfluity n. 多余, 过剩, 多余物, 过剩品, 奢侈
quadruped|quadruped n. 四足动物；[医] 四足的, 四足动物
suborn|suborn vt. 使作伪证, 唆使, 怂恿, 收买
propitiate|propitiate vt. 慰抚, 安抚, 和解, 谋求...的好感
sermonize|sermonize v. 说教, 布道, 说大道理与人听
vaporization|vaporization n. 蒸发, 汽化；[化] 汽化
stygian|stygian a. 冥河的, 阴森森的, 幽暗的, 不可侵犯的, 不可违背的
shibboleth|shibboleth n. 暗语, 暗号, 口令, 口号, 行话, 术语, 习俗, 习惯, 陈词滥调, 过时的信仰
importune|importune vt. 强求, 硬要；vi. 强求, 纠缠
auricular|auricular n. 耳的, 私下对人说的, 耳状的；[医] 耳的; 心耳的; 心房
exigent|exigent a. 紧急的, 迫切的, 苛求的；[法] 催告书, 勒令, 限令
turpitude|turpitude n. 卑鄙行为, 卑鄙；[法] 邪恶, 可耻行为, 卑鄙
bibliophile|bibliophile n. 爱书者, 藏书家
restiveness|restiveness n. 难以驾御；倔强
transfuse|transfuse vt. 输血, 充满；[医] 输血, 输液
fusty|fusty a. 发霉的, 守旧的, 陈腐的
dodder|dodder vi. 摇摆, 蹒跚；n. 菟丝子
bounteous|bounteous a. 慷慨的, 充足的, 宽裕的
peccadillo|peccadillo n. 轻罪, 小过, 小瑕疵
overweening|overweening a. 骄傲的, 自负的, 过于自信的, 过分的
estrange|estrange vt. 使疏远, 离间, 使离开
impecunious|impecunious a. 没有钱的, 身无分文的, 贫穷的
sceptical|sceptical a. 怀疑论的, 怀疑的
pretence|pretence n. 假装, 虚伪, 借口, 自称, 要求；[法] 假装, 借口, 托词
remunerative|remunerative a. 有报酬的, 有利可图的, 合算的
ceremonious|ceremonious a. 讲究仪式的, 隆重的
palpitate|palpitate vi. 悸动, 心跳, 发抖；[医] 心悸
addle|addle vt. 使昏乱, 使腐坏；vi. 变质；a. 昏乱的, 腐坏的
noisome|noisome a. 有害的, 恶臭的, 有毒的, 可厌的, 令人不快的
fretwork|fretwork n. 回纹装饰, 浮凸雕工
inconstancy|inconstancy n. 易变, 不定性, 反复无常
emollient|emollient a. 使柔软的；n. 软化剂, 润肤剂
fosse|fosse n. 壕, 沟渠, 护城河
lambaste|lambaste vt. 痛打, 严责
potentiate|potentiate vt. 赋与力量, 加强；vi. 有加强作用
discography|discography [医] 椎间盘造影术
skullduggery|skullduggery n. 欺骗, 诡计, 诈骗
corpuscle|corpuscle n. 细胞, 血球, 微粒；[计] 微粒, 粒子
unscented|unscented a. 无香味的；无气味的
indispensability|indispensability n. 不可缺少, 责无旁贷
mendicant|mendicant a. 行乞的, 托钵修道会的, 化缘的；n. 乞丐, 乞讨, 托钵僧
excitability|excitability n. 易兴奋性, 兴奋性, 激动性；[医] 应激性, 刺激感受性, 兴奋性
